"Speranta de viata dupa virste, medii si sexe, 1958-2023"

"Virste","2014 Urban Barbati","2014 Urban Femei","2014 Rural Barbati","2014 Rural Femei","2015 Urban Barbati","2015 Urban Femei","2015 Rural Barbati","2015 Rural Femei","2016 Urban Barbati","2016 Urban Femei","2016 Rural Barbati","2016 Rural Femei","2017 Urban Barbati","2017 Urban Femei","2017 Rural Barbati","2017 Rural Femei","2018 Urban Barbati","2018 Urban Femei","2018 Rural Barbati","2018 Rural Femei","2019 Urban Barbati","2019 Urban Femei","2019 Rural Barbati","2019 Rural Femei","2020 Urban Barbati","2020 Urban Femei","2020 Rural Barbati","2020 Rural Femei","2021 Urban Barbati","2021 Urban Femei","2021 Rural Barbati","2021 Rural Femei","2022 Urban Barbati","2022 Urban Femei","2022 Rural Barbati","2022 Rural Femei","2023 Urban Barbati","2023 Urban Femei","2023 Rural Barbati","2023 Rural Femei"
"0",66.8,75.3,64.4,72.8,66.6,75.2,64.4,72.8,67.4,75.7,64.7,73.2,68.2,76.4,65.9,73.9,68.3,76.4,65.2,74.1,68.7,76.6,65.7,74.1,66.9,74.8,65.3,73.3,65.7,73.5,64.7,72.5,68.2,76.7,66.2,75.0,69.0,77.6,66.4,75.4
"5",62.5,70.8,60.2,68.5,62.4,71.0,60.3,68.4,63.2,71.4,60.6,69.0,63.9,71.9,61.6,69.8,63.9,72.0,61.1,69.9,64.3,72.2,61.4,69.9,62.5,70.3,61.1,69.1,61.2,69.1,60.5,68.2,63.9,72.3,62.1,70.7,64.7,73.2,62.3,71.3
"10",57.6,65.8,55.3,63.6,57.5,66.0,55.4,63.5,58.2,66.5,55.7,64.1,59.0,67.0,56.7,64.9,59.1,67.1,56.2,64.9,59.4,67.3,56.5,65.0,57.5,65.3,56.2,64.2,56.3,64.1,55.6,63.3,58.9,67.3,57.1,65.8,59.7,68.2,57.4,66.4
"15",52.7,60.9,50.4,58.7,52.6,61.0,50.5,58.6,53.3,61.6,50.8,59.2,54.0,62.0,51.8,60.0,54.3,62.1,51.2,60.0,54.4,62.3,51.6,60.1,52.6,60.3,51.2,59.3,51.3,59.2,50.6,58.4,54.0,62.3,52.2,60.8,54.8,63.3,52.5,61.5
"20",47.8,56.0,45.7,53.8,47.7,56.1,45.7,53.7,48.4,56.6,46.0,54.3,49.2,57.1,47.0,55.1,49.5,57.2,46.4,55.2,49.6,57.4,46.9,55.2,47.7,55.5,46.4,54.3,46.5,54.2,46.0,53.5,49.1,57.4,47.4,55.9,49.9,58.3,47.7,56.6
"25",43.0,51.1,41.0,48.9,42.9,51.2,41.0,48.8,43.6,51.7,41.4,49.4,44.4,52.1,42.3,50.2,44.6,52.3,41.8,50.3,44.8,52.6,42.2,50.4,42.9,50.6,41.7,49.4,41.8,49.3,41.2,48.6,44.4,52.6,42.7,51.0,45.3,53.5,43.0,51.7
"30",38.4,46.2,36.5,44.1,38.3,46.4,36.4,44.0,38.9,46.8,36.9,44.6,39.7,47.3,37.8,45.3,39.8,47.4,37.2,45.4,40.0,47.7,37.5,45.5,38.1,45.7,37.1,44.6,37.0,44.4,36.6,43.8,39.6,47.6,38.1,46.2,40.4,48.6,38.4,46.9
"35",33.8,41.4,32.1,39.3,33.7,41.6,32.0,39.2,34.3,42.0,32.4,39.9,35.2,42.4,33.3,40.6,35.1,42.5,32.8,40.6,35.3,42.8,33.1,40.8,33.5,40.9,32.7,40.0,32.4,39.6,32.1,39.1,34.9,42.8,33.7,41.5,35.7,43.8,34.0,42.2
"40",29.6,36.7,28.0,34.7,29.4,36.8,27.8,34.7,30.0,37.3,28.3,35.2,30.8,37.6,29.1,35.9,30.8,37.7,28.7,35.9,30.9,38.0,28.8,36.2,29.0,36.2,28.4,35.3,28.0,34.8,27.9,34.5,30.3,38.0,29.4,36.8,31.2,39.0,29.7,37.5
"45",25.4,32.1,24.1,30.3,25.3,32.3,24.0,30.2,25.9,32.7,24.3,30.7,26.5,33.0,25.2,31.4,26.7,33.1,24.7,31.4,26.9,33.4,25.0,31.7,24.9,31.5,24.6,30.9,23.8,30.0,23.9,30.0,26.1,33.3,25.4,32.3,26.9,34.3,25.8,32.9
