"Temperatura medie lunara a aerului, 2002-2023"

"Luni","Chisinau 2014","Chisinau 2015","Chisinau 2016","Chisinau 2017","Chisinau 2018","Chisinau 2019","Chisinau 2020","Chisinau 2021","Chisinau 2022","Chisinau 2023"
"Ianuarie",-1.9,-0.5,-3.3,-4.2,-0.8,-2.6,1.5,0.1,0.3,2.2
"Februarie",-1.2,0.6,4.7,-0.5,-1.3,2.3,4.4,-0.3,3.6,2.0
"Martie",8.1,5.2,6.3,7.8,0.8,7.4,8.4,3.8,3.7,6.7
"Aprilie",11.6,10.2,13.1,9.4,15.1,10.5,11.8,8.5,10.6,9.2
"Mai",16.8,17.7,15.8,16.4,19.4,17.0,14.4,15.3,16.8,16.6
"Iunie",19.5,21.5,21.3,21.3,21.9,23.5,21.8,20.2,22.3,21.3
"Iulie",23.0,24.4,23.4,22.4,22.2,22.1,23.7,24.0,23.6,23.8
"August",23.2,24.7,23.1,23.7,24.6,23.8,24.0,21.7,23.7,25.5
"Septembrie",18.6,20.0,19.2,18.6,17.9,18.6,20.8,15.7,16.1,21.0
"Octombrie",9.8,9.9,7.9,10.8,13.3,12.3,14.6,10.2,12.6,15.1
"Noiembrie",3.6,7.1,3.5,5.5,2.1,7.9,4.8,6.8,5.8,6.6
"Decembrie",-0.1,3.0,-0.3,3.3,-0.8,3.5,1.8,0.8,1.7,2.8
